baseline_similarity,mean_shift_similarity,regression_similarity,sampling_similarity,Sentence1,Sentence2
0.7858589389415216,0.8704727741413825,0.8834193914492827,0.795715522524767,The debate was lively.,The debate may have been lively.
0.8130477937359994,0.8858994621330487,0.9122004054081619,0.8199283156603221,The pressure changed rapidly.,The pressure could have changed rapidly.
0.8662074094718777,0.919431982328771,0.928284925891776,0.8696528753859725,The rainbow appeared beautifully.,The rainbow could have appeared beautifully.
0.8574794918043105,0.905664617385012,0.9213976416899193,0.8515257847304395,The goose honked loudly.,The goose may have honked loudly.
0.7256562343778148,0.8199669848065121,0.8524736663546661,0.7329836900342621,The method was effective.,The method may have been effective.
0.880122444055635,0.9218115500817186,0.935969433245092,0.879106200964673,The toad sat on a lily pad.,The toad may have sat on a lily pad.
0.7509450036250411,0.827462752960201,0.8498702253717818,0.7589897650742272,The rebound was swift.,The rebound may have been swift.
0.8769413251042025,0.953053515750961,0.9598008084765025,0.8774022126061701,The book was insightful.,The book might have been insightful.
0.808278684236038,0.8806488389337486,0.9031329843599482,0.8108143882468137,The audience applauded enthusiastically.,The audience might have applauded enthusiastically.
0.7958082391969834,0.8562693259396912,0.8962842100562731,0.8009260814146264,The person is tired.,The person might be tired.
0.8980669606297687,0.9019634945884164,0.9129925483464483,0.8904264692270095,The experience is transformative.,The experience may be transformative.
0.8160749886232891,0.8647728085017051,0.8868732871780273,0.8206224891560443,The city is big.,The city could be big.
0.8464680859601577,0.9217870210364241,0.9369433671757925,0.8455370341942148,The potential was unlimited.,The potential might have been unlimited.
0.8585289479114551,0.9453788757299839,0.9620784170764074,0.8653890163179594,The profit was significant.,The profit might have been significant.
0.7611710094257185,0.8325485318928723,0.8657790205882036,0.7685607158719349,The potential was unlimited.,The potential may have been unlimited.
0.8373727905026697,0.9251275005101747,0.9386642094659725,0.8436775946682681,The competition was fierce.,The competition could have been fierce.
0.8275126973529094,0.8894683882148327,0.9108164701780288,0.8315234356605962,The victory was sweet.,The victory may have been sweet.
